step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.876, 0.007, 30.0, 62.9, 19.7
128, 2.14, 7.5e-05, 14.13, 12.254, 0.187, 42.3, 78.9, 28.9
256, 2.14, 0.00015, 9.63, 9.233, 0.31, 65.1, 79.5, 55.1
384, 2.02, 0.000225, 8.89, 8.744, 0.559, 79.3, 89.7, 71.0
512, 2.03, 0.0003, 8.29, 8.119, 0.647, 83.4, 93.6, 75.3
640, 2.02, 0.000375, 7.73, 7.645, 0.694, 85.8, 95.0, 78.3
768, 2.03, 0.00045, 7.29, 7.315, 0.72, 87.3, 95.5, 80.5
896, 1.94, 0.000525, 7.0, 7.058, 0.73, 87.8, 95.9, 80.9
1024, 2.07, 0.0006, 6.78, 6.853, 0.737, 88.2, 96.0, 81.5
1152, 1.98, 0.0005893, 6.54, 6.721, 0.739, 88.1, 96.3, 81.3
1280, 2.08, 0.0005786, 6.44, 6.61, 0.742, 88.2, 96.5, 81.3
1408, 2.02, 0.0005679, 6.3, 6.51, 0.745, 88.4, 96.5, 81.6
1536, 1.92, 0.0005571, 6.2, 6.426, 0.745, 88.4, 96.5, 81.6
1664, 2.12, 0.0005464, 6.14, 6.364, 0.749, 88.6, 96.6, 81.8
1792, 2.02, 0.0005357, 6.02, 6.3, 0.746, 88.4, 96.8, 81.2
1920, 2.03, 0.000525, 6.0, 6.253, 0.75, 88.7, 96.7, 81.9
2048, 1.99, 0.0005143, 5.91, 6.221, 0.751, 88.6, 96.9, 81.7
2176, 2.04, 0.0005036, 5.86, 6.174, 0.751, 88.7, 96.8, 81.8
2304, 2.04, 0.0004929, 5.83, 6.134, 0.75, 88.6, 96.9, 81.6
2432, 2.0, 0.0004821, 5.76, 6.124, 0.751, 88.6, 96.9, 81.6
2560, 2.12, 0.0004714, 5.72, 6.084, 0.754, 88.8, 96.9, 81.9
2688, 1.92, 0.0004607, 5.69, 6.066, 0.753, 88.7, 97.0, 81.7
2816, 2.02, 0.00045, 5.65, 6.051, 0.754, 88.8, 96.9, 81.9
2944, 2.01, 0.0004393, 5.59, 6.022, 0.753, 88.7, 97.0, 81.7
3072, 2.05, 0.0004286, 5.61, 6.025, 0.752, 88.7, 96.9, 81.7
3200, 1.99, 0.0004179, 5.55, 5.997, 0.754, 88.8, 96.9, 81.9
3328, 2.01, 0.0004071, 5.54, 5.968, 0.754, 88.8, 97.0, 81.8
3456, 1.95, 0.0003964, 5.48, 5.976, 0.755, 88.8, 97.0, 81.8
3584, 2.07, 0.0003857, 5.47, 5.962, 0.754, 88.8, 97.0, 81.8
3712, 2.02, 0.000375, 5.47, 5.962, 0.755, 88.8, 97.1, 81.8
3840, 2.02, 0.0003643, 5.43, 5.919, 0.753, 88.7, 97.0, 81.7
3968, 2.05, 0.0003536, 5.42, 5.926, 0.754, 88.7, 97.1, 81.7
4096, 2.06, 0.0003429, 5.38, 5.92, 0.754, 88.8, 97.1, 81.8
4224, 2.02, 0.0003321, 5.35, 5.911, 0.754, 88.8, 97.1, 81.7
4352, 2.1, 0.0003214, 5.36, 5.89, 0.754, 88.7, 97.1, 81.7
4480, 2.09, 0.0003107, 5.35, 5.906, 0.755, 88.8, 97.1, 81.8
4608, 2.1, 0.0003, 5.29, 5.879, 0.755, 88.8, 97.1, 81.8
4736, 2.01, 0.0002893, 5.3, 5.903, 0.755, 88.8, 97.1, 81.8
4864, 2.08, 0.0002786, 5.28, 5.869, 0.756, 88.8, 97.1, 81.8
4992, 1.98, 0.0002679, 5.27, 5.87, 0.755, 88.8, 97.1, 81.8
5120, 1.99, 0.0002571, 5.23, 5.864, 0.756, 88.9, 97.1, 81.9
5248, 2.03, 0.0002464, 5.26, 5.867, 0.755, 88.8, 97.1, 81.8
5376, 2.04, 0.0002357, 5.24, 5.865, 0.755, 88.8, 97.1, 81.8
5504, 2.1, 0.000225, 5.21, 5.858, 0.755, 88.8, 97.1, 81.8
5632, 2.08, 0.0002143, 5.19, 5.861, 0.755, 88.8, 97.1, 81.8
5760, 2.08, 0.0002036, 5.21, 5.862, 0.756, 88.9, 97.1, 81.9
5888, 1.97, 0.0001929, 5.17, 5.843, 0.755, 88.8, 97.1, 81.8
6016, 2.04, 0.0001821, 5.18, 5.833, 0.756, 88.9, 97.1, 81.9
6144, 1.99, 0.0001714, 5.13, 5.833, 0.757, 88.9, 97.1, 81.9
6272, 2.0, 0.0001607, 5.17, 5.84, 0.757, 88.9, 97.1, 81.9
6400, 2.05, 0.00015, 5.14, 5.83, 0.755, 88.8, 97.1, 81.7
6528, 2.01, 0.0001393, 5.13, 5.826, 0.756, 88.9, 97.1, 81.9
6656, 2.1, 0.0001286, 5.14, 5.834, 0.756, 88.9, 97.1, 81.9
6784, 2.1, 0.0001179, 5.1, 5.83, 0.756, 88.8, 97.1, 81.8
6912, 2.1, 0.0001071, 5.12, 5.817, 0.755, 88.8, 97.1, 81.8
7040, 2.04, 9.64e-05, 5.12, 5.828, 0.756, 88.8, 97.1, 81.9
7168, 2.02, 8.57e-05, 5.1, 5.836, 0.756, 88.8, 97.2, 81.8
7296, 2.01, 7.5e-05, 5.08, 5.821, 0.756, 88.8, 97.1, 81.9
7424, 2.08, 6.43e-05, 5.11, 5.82, 0.756, 88.8, 97.1, 81.8
7552, 2.14, 5.36e-05, 5.07, 5.812, 0.756, 88.8, 97.1, 81.8
7680, 2.05, 4.29e-05, 5.08, 5.825, 0.755, 88.8, 97.1, 81.8
7808, 2.17, 3.21e-05, 5.08, 5.827, 0.756, 88.8, 97.2, 81.8
7936, 2.21, 2.14e-05, 5.07, 5.82, 0.757, 88.9, 97.2, 81.9
8064, 2.13, 1.07e-05, 5.06, 5.823, 0.757, 88.9, 97.2, 81.9
8192, 2.03, 0.0, 5.08, 5.819, 0.756, 88.8, 97.1, 81.8
