step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.873, 0.007, 30.0, 62.9, 19.7
128, 2.07, 7.5e-05, 14.15, 12.413, 0.184, 42.3, 78.5, 28.9
256, 1.97, 0.00015, 9.68, 9.235, 0.316, 65.9, 79.5, 56.3
384, 2.07, 0.000225, 8.88, 8.737, 0.581, 80.5, 90.4, 72.6
512, 2.09, 0.0003, 8.27, 8.098, 0.68, 85.7, 93.4, 79.2
640, 1.95, 0.000375, 7.7, 7.615, 0.715, 87.3, 94.8, 80.9
768, 2.11, 0.00045, 7.29, 7.258, 0.733, 88.2, 95.2, 82.2
896, 1.95, 0.000525, 6.95, 7.002, 0.743, 88.6, 95.8, 82.3
1024, 2.06, 0.0006, 6.74, 6.782, 0.745, 88.6, 96.0, 82.3
1152, 1.98, 0.0005893, 6.53, 6.63, 0.748, 88.7, 96.1, 82.4
1280, 2.08, 0.0005786, 6.36, 6.541, 0.746, 88.6, 96.3, 82.0
1408, 2.02, 0.0005679, 6.24, 6.412, 0.749, 88.7, 96.4, 82.2
1536, 2.09, 0.0005571, 6.15, 6.344, 0.749, 88.7, 96.4, 82.2
1664, 1.98, 0.0005464, 6.09, 6.238, 0.748, 88.6, 96.6, 81.8
1792, 2.0, 0.0005357, 5.99, 6.198, 0.751, 88.7, 96.6, 82.0
1920, 2.08, 0.000525, 5.92, 6.205, 0.752, 88.8, 96.6, 82.2
2048, 2.0, 0.0005143, 5.86, 6.11, 0.752, 88.8, 96.7, 82.0
2176, 2.01, 0.0005036, 5.8, 6.066, 0.753, 88.8, 96.7, 82.1
2304, 2.06, 0.0004929, 5.76, 6.042, 0.753, 88.8, 96.8, 82.0
2432, 2.02, 0.0004821, 5.7, 6.004, 0.754, 88.8, 96.8, 82.0
2560, 2.03, 0.0004714, 5.67, 5.974, 0.753, 88.8, 96.9, 82.0
2688, 2.03, 0.0004607, 5.64, 5.946, 0.756, 88.9, 96.8, 82.2
2816, 2.04, 0.00045, 5.58, 5.938, 0.756, 88.9, 96.9, 82.1
2944, 2.02, 0.0004393, 5.55, 5.911, 0.754, 88.8, 96.9, 82.0
3072, 2.0, 0.0004286, 5.53, 5.879, 0.756, 88.9, 96.9, 82.2
3200, 2.04, 0.0004179, 5.48, 5.893, 0.754, 88.8, 97.0, 81.9
3328, 2.02, 0.0004071, 5.48, 5.864, 0.756, 88.9, 97.0, 82.0
3456, 2.03, 0.0003964, 5.43, 5.853, 0.757, 89.0, 96.9, 82.2
3584, 2.02, 0.0003857, 5.4, 5.853, 0.757, 88.9, 97.0, 82.1
3712, 2.03, 0.000375, 5.38, 5.833, 0.756, 88.9, 97.0, 82.1
3840, 2.01, 0.0003643, 5.34, 5.802, 0.756, 88.9, 97.0, 82.0
3968, 2.07, 0.0003536, 5.36, 5.821, 0.756, 88.9, 97.0, 82.0
4096, 2.01, 0.0003429, 5.3, 5.804, 0.757, 88.9, 97.0, 82.1
4224, 2.0, 0.0003321, 5.3, 5.775, 0.756, 88.9, 97.0, 82.0
4352, 2.04, 0.0003214, 5.28, 5.789, 0.757, 88.9, 97.0, 82.1
4480, 2.01, 0.0003107, 5.25, 5.774, 0.758, 89.0, 97.0, 82.2
4608, 2.0, 0.0003, 5.25, 5.761, 0.758, 89.0, 97.0, 82.1
4736, 2.04, 0.0002893, 5.23, 5.754, 0.758, 89.0, 97.1, 82.1
4864, 2.07, 0.0002786, 5.2, 5.737, 0.757, 88.9, 97.1, 82.0
4992, 2.0, 0.0002679, 5.19, 5.723, 0.758, 89.0, 97.1, 82.1
5120, 2.05, 0.0002571, 5.18, 5.729, 0.759, 89.0, 97.1, 82.2
5248, 2.02, 0.0002464, 5.15, 5.731, 0.756, 88.9, 97.1, 81.9
5376, 2.02, 0.0002357, 5.14, 5.706, 0.759, 89.0, 97.1, 82.2
5504, 2.05, 0.000225, 5.13, 5.726, 0.758, 89.0, 97.1, 82.1
5632, 1.98, 0.0002143, 5.13, 5.709, 0.758, 89.0, 97.1, 82.1
5760, 2.02, 0.0002036, 5.1, 5.711, 0.758, 89.0, 97.1, 82.0
5888, 2.08, 0.0001929, 5.12, 5.705, 0.759, 89.0, 97.1, 82.2
6016, 2.03, 0.0001821, 5.09, 5.727, 0.758, 88.9, 97.1, 82.0
6144, 2.04, 0.0001714, 5.07, 5.701, 0.758, 88.9, 97.1, 82.0
6272, 1.96, 0.0001607, 5.07, 5.69, 0.759, 89.0, 97.1, 82.1
6400, 2.09, 0.00015, 5.07, 5.715, 0.758, 89.0, 97.1, 82.1
6528, 2.02, 0.0001393, 5.05, 5.703, 0.757, 88.9, 97.1, 82.0
6656, 2.0, 0.0001286, 5.04, 5.678, 0.757, 88.9, 97.1, 82.0
6784, 2.05, 0.0001179, 5.03, 5.685, 0.759, 89.0, 97.1, 82.2
6912, 2.0, 0.0001071, 5.05, 5.687, 0.758, 89.0, 97.1, 82.1
7040, 2.05, 9.64e-05, 5.02, 5.69, 0.757, 88.9, 97.1, 82.0
7168, 2.02, 8.57e-05, 4.99, 5.68, 0.757, 88.9, 97.1, 82.0
7296, 2.01, 7.5e-05, 5.01, 5.672, 0.759, 89.0, 97.1, 82.1
7424, 2.01, 6.43e-05, 5.0, 5.684, 0.759, 89.0, 97.2, 82.1
7552, 2.04, 5.36e-05, 5.0, 5.679, 0.758, 89.0, 97.1, 82.1
7680, 2.02, 4.29e-05, 5.0, 5.675, 0.757, 88.9, 97.1, 82.0
7808, 2.11, 3.21e-05, 5.02, 5.677, 0.759, 89.0, 97.2, 82.1
7936, 1.97, 2.14e-05, 4.97, 5.674, 0.758, 88.9, 97.1, 82.0
8064, 2.05, 1.07e-05, 4.97, 5.676, 0.759, 89.0, 97.2, 82.1
8192, 2.02, 0.0, 4.99, 5.674, 0.759, 89.0, 97.2, 82.1
