step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 8e-07, n/a, 14.86, -0.003, 29.6, 61.9, 19.4
128, 1.98, 0.0001, 14.01, 10.853, 0.273, 56.2, 81.1, 43.0
256, 2.06, 0.0002, 9.34, 9.127, 0.301, 61.8, 80.6, 50.1
384, 2.01, 0.0003, 8.68, 8.474, 0.407, 63.5, 89.6, 49.1
512, 1.95, 0.0004, 7.98, 7.888, 0.482, 68.7, 93.1, 54.4
640, 2.03, 0.0005, 7.51, 7.509, 0.523, 71.5, 94.9, 57.3
768, 1.95, 0.0006, 7.18, 7.254, 0.545, 73.0, 95.7, 59.1
896, 1.95, 0.0007, 6.95, 7.068, 0.544, 72.3, 96.4, 57.8
1024, 2.07, 0.0008, 6.76, 6.847, 0.542, 71.7, 96.8, 57.0
1152, 1.94, 0.0007857, 6.51, 6.677, 0.557, 73.2, 96.8, 58.9
1280, 2.11, 0.0007714, 6.37, 6.539, 0.564, 73.9, 97.0, 59.6
1408, 2.04, 0.0007571, 6.23, 6.405, 0.572, 74.5, 97.1, 60.5
1536, 2.14, 0.0007429, 6.12, 6.304, 0.585, 75.8, 97.1, 62.1
1664, 2.02, 0.0007286, 5.98, 6.229, 0.588, 76.0, 97.1, 62.4
1792, 2.04, 0.0007143, 5.88, 6.154, 0.602, 77.2, 97.3, 64.0
1920, 1.99, 0.0007, 5.81, 6.116, 0.598, 76.9, 97.2, 63.6
2048, 1.95, 0.0006857, 5.74, 6.065, 0.618, 78.6, 97.3, 65.9
2176, 1.98, 0.0006714, 5.65, 6.003, 0.62, 78.8, 97.3, 66.2
2304, 2.12, 0.0006571, 5.61, 5.985, 0.632, 79.8, 97.4, 67.5
2432, 2.08, 0.0006429, 5.56, 5.94, 0.636, 80.1, 97.3, 68.1
2560, 2.03, 0.0006286, 5.53, 5.933, 0.633, 79.8, 97.4, 67.6
2688, 2.12, 0.0006143, 5.46, 5.904, 0.64, 80.4, 97.4, 68.5
2816, 2.0, 0.0006, 5.39, 5.885, 0.647, 81.0, 97.5, 69.3
2944, 2.04, 0.0005857, 5.4, 5.861, 0.644, 80.8, 97.4, 69.0
3072, 2.01, 0.0005714, 5.35, 5.86, 0.648, 81.0, 97.5, 69.3
3200, 1.97, 0.0005571, 5.3, 5.857, 0.65, 81.2, 97.5, 69.6
3328, 2.04, 0.0005429, 5.31, 5.821, 0.648, 81.1, 97.5, 69.4
3456, 2.09, 0.0005286, 5.24, 5.808, 0.655, 81.6, 97.5, 70.2
3584, 1.94, 0.0005143, 5.24, 5.812, 0.659, 81.9, 97.5, 70.5
3712, 2.01, 0.0005, 5.2, 5.782, 0.654, 81.5, 97.5, 70.0
3840, 2.06, 0.0004857, 5.17, 5.786, 0.658, 81.7, 97.6, 70.3
