step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 4.9e-06, n/a, 6.094, -0.006, 12.8, 21.2, 9.2
128, 2.03, 0.000625, 4.76, 3.946, 0.29, 44.0, 45.6, 42.5
256, 1.89, 0.00125, 3.67, 3.465, 0.63, 71.4, 69.2, 73.7
384, 1.91, 0.001875, 3.3, 3.138, 0.736, 79.6, 75.4, 84.2
512, 1.92, 0.0025, 2.99, 2.903, 0.777, 82.7, 78.4, 87.6
640, 1.84, 0.003125, 2.82, 2.762, 0.801, 84.6, 80.0, 89.6
768, 1.88, 0.00375, 2.72, 2.677, 0.823, 86.2, 82.7, 90.0
896, 1.89, 0.004375, 2.61, 2.62, 0.835, 87.2, 84.8, 89.6
1024, 1.9, 0.005, 2.58, 2.584, 0.841, 87.7, 86.3, 89.0
1152, 1.88, 0.0049107, 2.53, 2.529, 0.859, 89.0, 88.1, 90.0
1280, 1.9, 0.0048214, 2.49, 2.498, 0.861, 89.2, 88.5, 89.9
1408, 1.84, 0.0047321, 2.46, 2.533, 0.858, 89.0, 88.7, 89.3
1536, 1.89, 0.0046429, 2.44, 2.461, 0.861, 89.1, 88.9, 89.4
1664, 1.87, 0.0045536, 2.41, 2.444, 0.861, 89.1, 89.0, 89.3
1792, 1.86, 0.0044643, 2.42, 2.433, 0.858, 88.9, 89.2, 88.7
1920, 1.85, 0.004375, 2.38, 2.431, 0.862, 89.2, 89.2, 89.2
2048, 1.91, 0.0042857, 2.38, 2.429, 0.857, 88.9, 89.3, 88.4
2176, 1.84, 0.0041964, 2.41, 2.425, 0.858, 88.9, 89.3, 88.6
2304, 1.84, 0.0041071, 2.38, 2.411, 0.86, 89.0, 89.5, 88.6
2432, 1.94, 0.0040179, 2.37, 2.407, 0.861, 89.1, 89.5, 88.7
2560, 1.89, 0.0039286, 2.36, 2.41, 0.859, 89.0, 89.5, 88.5
2688, 1.86, 0.0038393, 2.37, 2.407, 0.861, 89.2, 89.5, 88.8
2816, 1.87, 0.00375, 2.36, 2.401, 0.86, 89.1, 89.6, 88.6
2944, 1.89, 0.0036607, 2.39, 2.402, 0.858, 88.9, 89.6, 88.3
3072, 1.92, 0.0035714, 2.36, 2.399, 0.859, 89.0, 89.6, 88.3
3200, 1.87, 0.0034821, 2.36, 2.399, 0.857, 88.8, 89.6, 88.0
