step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 4.9e-06, n/a, 6.101, 0.026, 15.2, 25.2, 10.9
128, 1.8, 0.000625, 4.79, 3.948, 0.254, 42.4, 40.9, 44.0
256, 1.86, 0.00125, 3.68, 3.482, 0.628, 71.1, 69.4, 73.0
384, 1.89, 0.001875, 3.27, 3.101, 0.769, 82.1, 79.9, 84.4
512, 1.86, 0.0025, 2.96, 2.847, 0.812, 85.3, 83.9, 86.8
640, 1.85, 0.003125, 2.77, 2.716, 0.827, 86.5, 85.2, 87.9
768, 1.84, 0.00375, 2.65, 2.627, 0.838, 87.4, 86.2, 88.6
896, 1.84, 0.004375, 2.58, 2.592, 0.84, 87.5, 87.1, 87.9
1024, 1.86, 0.005, 2.56, 2.559, 0.844, 87.8, 87.8, 87.8
1152, 1.89, 0.0049107, 2.51, 2.611, 0.851, 88.4, 88.5, 88.2
1280, 1.85, 0.0048214, 2.46, 2.471, 0.849, 88.2, 88.8, 87.7
1408, 1.83, 0.0047321, 2.42, 2.444, 0.849, 88.2, 89.0, 87.3
1536, 1.83, 0.0046429, 2.4, 2.429, 0.85, 88.2, 89.3, 87.2
1664, 1.89, 0.0045536, 2.4, 2.425, 0.85, 88.3, 89.3, 87.3
1792, 1.83, 0.0044643, 2.37, 2.415, 0.851, 88.3, 89.4, 87.3
1920, 1.83, 0.004375, 2.38, 2.41, 0.851, 88.3, 89.5, 87.1
2048, 1.83, 0.0042857, 2.36, 2.401, 0.853, 88.5, 89.5, 87.5
2176, 1.83, 0.0041964, 2.35, 2.394, 0.851, 88.3, 89.6, 87.0
2304, 1.83, 0.0041071, 2.35, 2.437, 0.854, 88.6, 89.7, 87.5
2432, 1.89, 0.0040179, 2.36, 2.389, 0.853, 88.5, 89.7, 87.2
2560, 1.84, 0.0039286, 2.34, 2.386, 0.851, 88.3, 89.8, 86.8
2688, 1.85, 0.0038393, 2.33, 2.38, 0.851, 88.3, 89.7, 87.0
2816, 1.85, 0.00375, 2.33, 2.37, 0.85, 88.2, 89.9, 86.7
2944, 1.86, 0.0036607, 2.33, 2.362, 0.849, 88.2, 89.8, 86.6
3072, 1.85, 0.0035714, 2.31, 2.365, 0.852, 88.4, 89.9, 86.9
3200, 1.84, 0.0034821, 2.33, 2.368, 0.853, 88.4, 89.9, 87.0
3328, 1.84, 0.0033929, 2.31, 2.359, 0.847, 88.0, 89.9, 86.1
3456, 1.86, 0.0033036, 2.31, 2.355, 0.849, 88.1, 90.0, 86.3
3584, 1.86, 0.0032143, 2.3, 2.358, 0.847, 88.0, 90.0, 86.0
3712, 1.84, 0.003125, 2.3, 2.351, 0.849, 88.1, 90.0, 86.2
3840, 1.86, 0.0030357, 2.3, 2.348, 0.848, 88.1, 90.1, 86.2
3968, 1.85, 0.0029464, 2.31, 2.346, 0.848, 88.1, 90.1, 86.2
4096, 1.86, 0.0028571, 2.3, 2.35, 0.85, 88.2, 90.2, 86.3
4224, 1.85, 0.0027679, 2.29, 2.366, 0.852, 88.3, 90.1, 86.6
4352, 1.86, 0.0026786, 2.31, 2.348, 0.847, 87.9, 90.1, 85.8
4480, 1.85, 0.0025893, 2.29, 2.343, 0.848, 88.0, 90.1, 86.1
4608, 1.85, 0.0025, 2.28, 2.345, 0.847, 87.9, 90.1, 85.8
4736, 1.85, 0.0024107, 2.3, 2.342, 0.846, 87.8, 90.1, 85.7
4864, 1.88, 0.0023214, 2.29, 2.335, 0.846, 87.8, 90.1, 85.6
