step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 4.9e-06, n/a, 6.108, -0.002, 13.1, 21.6, 9.4
128, 1.94, 0.000625, 4.83, 3.938, 0.296, 45.1, 45.0, 45.2
256, 1.99, 0.00125, 3.66, 3.458, 0.689, 75.9, 73.5, 78.5
384, 1.92, 0.001875, 3.26, 3.096, 0.79, 83.7, 79.0, 89.0
512, 1.84, 0.0025, 2.94, 2.846, 0.824, 86.3, 81.2, 92.0
640, 1.84, 0.003125, 2.71, 2.639, 0.834, 87.0, 80.9, 94.1
768, 1.92, 0.00375, 2.56, 2.508, 0.837, 87.3, 81.4, 94.0
896, 1.82, 0.004375, 2.44, 2.433, 0.839, 87.3, 80.8, 95.0
1024, 1.81, 0.005, 2.36, 2.361, 0.846, 87.9, 82.1, 94.7
1152, 1.84, 0.0049107, 2.3, 2.311, 0.846, 88.0, 82.0, 94.9
1280, 1.85, 0.0048214, 2.26, 2.27, 0.848, 88.1, 82.0, 95.0
1408, 1.83, 0.0047321, 2.2, 2.243, 0.85, 88.2, 82.4, 95.0
1536, 1.91, 0.0046429, 2.24, 2.251, 0.848, 88.1, 82.2, 94.9
1664, 1.86, 0.0045536, 2.14, 2.194, 0.85, 88.3, 82.3, 95.2
1792, 1.85, 0.0044643, 2.14, 2.185, 0.851, 88.3, 82.4, 95.1
1920, 1.87, 0.004375, 2.11, 2.166, 0.85, 88.2, 82.2, 95.2
2048, 1.85, 0.0042857, 2.08, 2.147, 0.852, 88.4, 82.5, 95.3
2176, 1.89, 0.0041964, 2.08, 2.144, 0.851, 88.3, 82.3, 95.3
2304, 1.8, 0.0041071, 2.07, 2.127, 0.853, 88.5, 82.6, 95.3
2432, 1.81, 0.0040179, 2.08, 2.13, 0.849, 88.2, 82.3, 95.1
2560, 1.85, 0.0039286, 2.05, 2.107, 0.853, 88.5, 82.5, 95.3
2688, 1.81, 0.0038393, 2.04, 2.104, 0.851, 88.3, 82.4, 95.2
2816, 1.81, 0.00375, 2.03, 2.093, 0.853, 88.5, 82.6, 95.3
2944, 1.88, 0.0036607, 2.02, 2.102, 0.852, 88.4, 82.4, 95.4
3072, 1.98, 0.0035714, 2.01, 2.096, 0.85, 88.3, 82.4, 95.0
3200, 1.79, 0.0034821, 2.0, 2.078, 0.852, 88.4, 82.4, 95.3
3328, 1.8, 0.0033929, 2.0, 2.066, 0.851, 88.3, 82.4, 95.2
3456, 1.84, 0.0033036, 1.98, 2.062, 0.853, 88.5, 82.5, 95.4
3584, 1.88, 0.0032143, 1.97, 2.059, 0.851, 88.3, 82.3, 95.3
3712, 1.77, 0.003125, 1.96, 2.05, 0.853, 88.4, 82.4, 95.5
3840, 1.85, 0.0030357, 1.97, 2.055, 0.851, 88.3, 82.2, 95.5
3968, 1.85, 0.0029464, 1.97, 2.037, 0.852, 88.4, 82.4, 95.4
4096, 1.85, 0.0028571, 1.93, 2.039, 0.852, 88.4, 82.4, 95.3
4224, 1.81, 0.0027679, 1.95, 2.031, 0.852, 88.4, 82.5, 95.2
4352, 1.85, 0.0026786, 1.94, 2.024, 0.853, 88.4, 82.4, 95.4
4480, 1.8, 0.0025893, 1.93, 2.023, 0.853, 88.5, 82.5, 95.3
4608, 1.89, 0.0025, 1.93, 2.014, 0.853, 88.5, 82.4, 95.5
4736, 1.83, 0.0024107, 1.92, 2.015, 0.852, 88.4, 82.4, 95.3
4864, 1.81, 0.0023214, 1.91, 2.016, 0.852, 88.4, 82.4, 95.3
4992, 1.79, 0.0022321, 1.9, 2.007, 0.852, 88.4, 82.3, 95.3
5120, 1.89, 0.0021429, 1.91, 2.002, 0.853, 88.5, 82.3, 95.6
5248, 1.84, 0.0020536, 1.89, 2.009, 0.852, 88.4, 82.4, 95.4
5376, 1.87, 0.0019643, 1.88, 1.999, 0.852, 88.4, 82.3, 95.4
5504, 1.82, 0.001875, 1.88, 1.994, 0.853, 88.5, 82.5, 95.4
5632, 1.76, 0.0017857, 1.88, 1.998, 0.852, 88.4, 82.4, 95.4
5760, 1.82, 0.0016964, 1.86, 1.986, 0.853, 88.4, 82.5, 95.4
5888, 1.85, 0.0016071, 1.88, 1.985, 0.853, 88.4, 82.5, 95.4
6016, 1.84, 0.0015179, 1.85, 1.981, 0.852, 88.4, 82.4, 95.4
6144, 1.85, 0.0014286, 1.85, 1.979, 0.852, 88.4, 82.4, 95.4
6272, 1.8, 0.0013393, 1.86, 1.979, 0.852, 88.4, 82.5, 95.3
6400, 1.89, 0.00125, 1.86, 1.971, 0.852, 88.4, 82.3, 95.4
6528, 1.8, 0.0011607, 1.84, 1.973, 0.853, 88.4, 82.4, 95.4
6656, 1.83, 0.0010714, 1.83, 1.969, 0.853, 88.5, 82.5, 95.5
6784, 1.8, 0.0009821, 1.83, 1.967, 0.852, 88.4, 82.3, 95.4
6912, 1.83, 0.0008929, 1.84, 1.962, 0.853, 88.4, 82.4, 95.4
7040, 1.83, 0.0008036, 1.83, 1.962, 0.852, 88.4, 82.5, 95.3
7168, 1.8, 0.0007143, 1.82, 1.961, 0.853, 88.4, 82.4, 95.4
7296, 1.97, 0.000625, 1.81, 1.96, 0.852, 88.4, 82.4, 95.4
7424, 1.91, 0.0005357, 1.82, 1.954, 0.853, 88.4, 82.4, 95.4
7552, 1.84, 0.0004464, 1.81, 1.953, 0.852, 88.4, 82.4, 95.4
7680, 1.77, 0.0003571, 1.8, 1.952, 0.853, 88.5, 82.5, 95.4
7808, 1.84, 0.0002679, 1.81, 1.95, 0.853, 88.4, 82.4, 95.4
7936, 1.81, 0.0001786, 1.8, 1.949, 0.852, 88.4, 82.4, 95.4
8064, 1.79, 8.93e-05, 1.79, 1.948, 0.852, 88.4, 82.4, 95.4
8192, 1.84, 0.0, 1.8, 1.946, 0.853, 88.4, 82.4, 95.4
