step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.881, 0.001, 29.8, 62.3, 19.5
128, 3.01, 7.5e-05, 14.22, 12.672, 0.177, 41.7, 78.0, 28.4
256, 3.05, 0.00015, 9.7, 9.223, 0.316, 66.1, 79.4, 56.7
384, 2.99, 0.000225, 8.89, 8.737, 0.555, 79.0, 89.7, 70.6
512, 2.99, 0.0003, 8.31, 8.142, 0.605, 80.5, 93.2, 70.8
640, 3.07, 0.000375, 7.71, 7.676, 0.674, 84.7, 94.7, 76.5
768, 3.02, 0.00045, 7.31, 7.342, 0.702, 86.3, 95.3, 78.8
896, 3.06, 0.000525, 7.02, 7.074, 0.711, 86.6, 95.9, 78.9
1024, 3.05, 0.0006, 6.77, 6.894, 0.716, 86.8, 96.1, 79.2
1152, 3.03, 0.0005893, 6.59, 6.737, 0.717, 86.7, 96.4, 78.9
1280, 3.04, 0.0005786, 6.48, 6.635, 0.72, 86.8, 96.5, 79.0
1408, 3.06, 0.0005679, 6.34, 6.515, 0.718, 86.6, 96.7, 78.4
1536, 3.08, 0.0005571, 6.24, 6.482, 0.72, 86.7, 96.7, 78.6
1664, 3.01, 0.0005464, 6.18, 6.403, 0.72, 86.7, 96.9, 78.4
1792, 3.04, 0.0005357, 6.07, 6.355, 0.723, 86.9, 96.8, 78.8
1920, 3.09, 0.000525, 6.07, 6.315, 0.722, 86.7, 97.1, 78.3
2048, 2.99, 0.0005143, 5.98, 6.269, 0.724, 86.9, 97.0, 78.7
2176, 3.04, 0.0005036, 5.92, 6.26, 0.724, 86.9, 97.1, 78.6
2304, 3.01, 0.0004929, 5.91, 6.224, 0.723, 86.8, 97.1, 78.4
2432, 3.05, 0.0004821, 5.86, 6.179, 0.725, 86.9, 97.2, 78.6
2560, 2.96, 0.0004714, 5.81, 6.149, 0.724, 86.8, 97.1, 78.4
2688, 2.98, 0.0004607, 5.8, 6.165, 0.723, 86.7, 97.2, 78.3
2816, 2.99, 0.00045, 5.74, 6.115, 0.722, 86.6, 97.2, 78.1
2944, 3.0, 0.0004393, 5.74, 6.103, 0.723, 86.7, 97.3, 78.2
3072, 2.92, 0.0004286, 5.68, 6.085, 0.723, 86.7, 97.2, 78.2
3200, 2.96, 0.0004179, 5.66, 6.058, 0.722, 86.6, 97.4, 77.9
3328, 2.98, 0.0004071, 5.68, 6.064, 0.722, 86.6, 97.3, 77.9
3456, 2.98, 0.0003964, 5.61, 6.065, 0.724, 86.7, 97.4, 78.1
3584, 2.98, 0.0003857, 5.61, 6.015, 0.721, 86.5, 97.4, 77.9
3712, 2.98, 0.000375, 5.57, 6.016, 0.722, 86.5, 97.4, 77.9
3840, 3.0, 0.0003643, 5.57, 6.015, 0.721, 86.5, 97.4, 77.8
3968, 2.96, 0.0003536, 5.55, 6.008, 0.723, 86.7, 97.4, 78.1
4096, 3.0, 0.0003429, 5.54, 5.989, 0.721, 86.5, 97.4, 77.8
4224, 2.92, 0.0003321, 5.5, 5.987, 0.721, 86.5, 97.5, 77.7
4352, 3.02, 0.0003214, 5.5, 5.984, 0.721, 86.5, 97.4, 77.8
4480, 2.99, 0.0003107, 5.49, 5.984, 0.722, 86.5, 97.4, 77.8
4608, 2.9, 0.0003, 5.48, 5.966, 0.721, 86.5, 97.5, 77.7
4736, 2.96, 0.0002893, 5.44, 5.959, 0.721, 86.5, 97.5, 77.7
4864, 3.0, 0.0002786, 5.44, 5.937, 0.724, 86.6, 97.5, 78.0
4992, 2.94, 0.0002679, 5.45, 5.952, 0.722, 86.6, 97.4, 77.9
5120, 2.92, 0.0002571, 5.41, 5.922, 0.723, 86.6, 97.5, 77.8
5248, 3.12, 0.0002464, 5.42, 5.931, 0.719, 86.3, 97.5, 77.4
5376, 2.98, 0.0002357, 5.4, 5.921, 0.72, 86.4, 97.5, 77.6
5504, 2.93, 0.000225, 5.38, 5.931, 0.723, 86.6, 97.4, 78.0
5632, 2.97, 0.0002143, 5.4, 5.921, 0.721, 86.5, 97.5, 77.7
5760, 3.0, 0.0002036, 5.36, 5.91, 0.723, 86.5, 97.5, 77.8
5888, 3.01, 0.0001929, 5.37, 5.919, 0.72, 86.4, 97.5, 77.5
6016, 2.98, 0.0001821, 5.34, 5.916, 0.719, 86.3, 97.5, 77.4
6144, 2.96, 0.0001714, 5.35, 5.916, 0.721, 86.5, 97.5, 77.6
6272, 3.02, 0.0001607, 5.36, 5.906, 0.722, 86.5, 97.5, 77.7
6400, 2.98, 0.00015, 5.31, 5.894, 0.721, 86.4, 97.5, 77.6
6528, 3.0, 0.0001393, 5.34, 5.904, 0.721, 86.4, 97.5, 77.6
6656, 2.94, 0.0001286, 5.32, 5.892, 0.721, 86.5, 97.5, 77.7
6784, 3.05, 0.0001179, 5.32, 5.894, 0.72, 86.4, 97.5, 77.6
6912, 2.91, 0.0001071, 5.3, 5.894, 0.72, 86.4, 97.5, 77.5
7040, 2.91, 9.64e-05, 5.3, 5.891, 0.721, 86.4, 97.5, 77.6
7168, 3.03, 8.57e-05, 5.31, 5.879, 0.722, 86.5, 97.5, 77.8
7296, 2.91, 7.5e-05, 5.29, 5.887, 0.721, 86.4, 97.5, 77.6
7424, 2.92, 6.43e-05, 5.29, 5.885, 0.721, 86.5, 97.5, 77.6
7552, 3.03, 5.36e-05, 5.29, 5.88, 0.721, 86.4, 97.5, 77.6
7680, 2.95, 4.29e-05, 5.29, 5.886, 0.72, 86.4, 97.5, 77.5
7808, 3.01, 3.21e-05, 5.28, 5.879, 0.72, 86.3, 97.5, 77.5
