step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.869, -0.007, 29.4, 61.5, 19.3
128, 3.02, 7.5e-05, 14.2, 12.787, 0.167, 41.0, 77.3, 27.9
256, 3.02, 0.00015, 9.78, 9.224, 0.301, 64.8, 78.9, 55.0
384, 3.03, 0.000225, 8.88, 8.714, 0.552, 78.7, 89.7, 70.1
512, 2.97, 0.0003, 8.27, 8.08, 0.647, 83.7, 93.2, 75.9
640, 3.11, 0.000375, 7.68, 7.596, 0.699, 86.5, 94.4, 79.9
768, 3.02, 0.00045, 7.28, 7.239, 0.716, 87.2, 95.2, 80.4
896, 2.97, 0.000525, 6.94, 7.013, 0.729, 87.8, 95.6, 81.2
1024, 3.03, 0.0006, 6.75, 6.806, 0.735, 88.0, 95.9, 81.3
1152, 3.0, 0.0005893, 6.56, 6.666, 0.739, 88.3, 96.1, 81.6
1280, 3.06, 0.0005786, 6.4, 6.54, 0.74, 88.2, 96.4, 81.2
1408, 2.95, 0.0005679, 6.29, 6.462, 0.741, 88.2, 96.5, 81.1
1536, 3.01, 0.0005571, 6.2, 6.365, 0.743, 88.3, 96.6, 81.3
1664, 2.99, 0.0005464, 6.11, 6.306, 0.746, 88.4, 96.7, 81.4
1792, 3.07, 0.0005357, 6.02, 6.255, 0.745, 88.3, 96.7, 81.2
1920, 2.97, 0.000525, 5.97, 6.198, 0.747, 88.4, 96.8, 81.4
2048, 2.97, 0.0005143, 5.91, 6.154, 0.748, 88.4, 96.9, 81.3
2176, 3.05, 0.0005036, 5.88, 6.126, 0.748, 88.4, 97.0, 81.1
2304, 2.89, 0.0004929, 5.82, 6.101, 0.747, 88.4, 97.0, 81.2
2432, 3.03, 0.0004821, 5.77, 6.073, 0.748, 88.4, 97.0, 81.2
2560, 2.89, 0.0004714, 5.74, 6.039, 0.748, 88.4, 97.1, 81.1
2688, 3.03, 0.0004607, 5.71, 6.026, 0.749, 88.4, 97.1, 81.2
2816, 3.02, 0.00045, 5.65, 5.991, 0.75, 88.5, 97.1, 81.2
2944, 2.92, 0.0004393, 5.66, 5.972, 0.75, 88.5, 97.2, 81.2
3072, 3.03, 0.0004286, 5.61, 5.953, 0.75, 88.4, 97.2, 81.2
3200, 2.88, 0.0004179, 5.55, 5.937, 0.75, 88.5, 97.2, 81.2
3328, 3.0, 0.0004071, 5.58, 5.916, 0.749, 88.4, 97.2, 81.0
3456, 2.98, 0.0003964, 5.53, 5.904, 0.75, 88.4, 97.3, 81.1
3584, 2.99, 0.0003857, 5.5, 5.887, 0.75, 88.4, 97.2, 81.1
3712, 2.92, 0.000375, 5.49, 5.878, 0.749, 88.3, 97.3, 80.9
3840, 3.07, 0.0003643, 5.47, 5.866, 0.751, 88.4, 97.3, 81.0
3968, 2.92, 0.0003536, 5.44, 5.857, 0.749, 88.4, 97.3, 80.9
4096, 2.89, 0.0003429, 5.44, 5.867, 0.75, 88.4, 97.3, 81.0
4224, 2.95, 0.0003321, 5.41, 5.838, 0.75, 88.4, 97.3, 81.0
4352, 2.91, 0.0003214, 5.39, 5.846, 0.752, 88.5, 97.3, 81.2
4480, 2.86, 0.0003107, 5.39, 5.827, 0.751, 88.5, 97.3, 81.2
4608, 2.97, 0.0003, 5.36, 5.811, 0.75, 88.4, 97.4, 80.9
