step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.86, 0.0, 29.7, 62.2, 19.5
128, 2.97, 7.5e-05, 14.39, 13.186, 0.105, 35.4, 72.4, 23.5
256, 2.94, 0.00015, 9.77, 9.223, 0.267, 62.1, 77.6, 51.7
384, 2.97, 0.000225, 8.87, 8.76, 0.403, 65.0, 88.0, 51.6
512, 3.0, 0.0003, 8.3, 8.153, 0.448, 65.7, 92.2, 51.1
640, 2.9, 0.000375, 7.72, 7.697, 0.505, 70.4, 94.0, 56.3
768, 3.06, 0.00045, 7.36, 7.43, 0.539, 72.9, 95.1, 59.1
896, 3.05, 0.000525, 7.11, 7.219, 0.542, 72.5, 96.0, 58.2
1024, 3.11, 0.0006, 6.92, 7.04, 0.55, 72.9, 96.4, 58.6
1152, 3.08, 0.0005893, 6.71, 6.893, 0.551, 72.6, 96.8, 58.1
1280, 2.92, 0.0005786, 6.59, 6.715, 0.551, 72.5, 96.9, 58.0
1408, 2.95, 0.0005679, 6.42, 6.596, 0.563, 73.7, 97.0, 59.5
1536, 2.96, 0.0005571, 6.31, 6.491, 0.57, 74.2, 97.2, 60.0
1664, 3.02, 0.0005464, 6.19, 6.399, 0.567, 73.9, 97.3, 59.5
1792, 2.88, 0.0005357, 6.06, 6.306, 0.591, 76.2, 97.3, 62.6
1920, 3.03, 0.000525, 6.04, 6.239, 0.595, 76.4, 97.4, 62.9
2048, 2.99, 0.0005143, 5.92, 6.191, 0.604, 77.3, 97.3, 64.1
2176, 3.0, 0.0005036, 5.84, 6.155, 0.614, 78.1, 97.4, 65.2
2304, 2.92, 0.0004929, 5.8, 6.096, 0.619, 78.5, 97.5, 65.7
2432, 3.01, 0.0004821, 5.73, 6.075, 0.626, 79.1, 97.5, 66.5
2560, 2.94, 0.0004714, 5.68, 6.031, 0.635, 79.8, 97.6, 67.5
2688, 2.99, 0.0004607, 5.65, 6.002, 0.632, 79.6, 97.5, 67.3
2816, 2.92, 0.00045, 5.59, 5.969, 0.635, 79.7, 97.8, 67.2
2944, 2.98, 0.0004393, 5.56, 5.955, 0.647, 80.8, 97.7, 68.9
3072, 2.98, 0.0004286, 5.52, 5.951, 0.648, 80.9, 97.7, 69.0
3200, 2.93, 0.0004179, 5.47, 5.908, 0.642, 80.3, 97.7, 68.2
3328, 2.98, 0.0004071, 5.48, 5.913, 0.649, 81.0, 97.7, 69.2
3456, 2.93, 0.0003964, 5.42, 5.9, 0.65, 81.0, 97.8, 69.2
3584, 2.99, 0.0003857, 5.39, 5.873, 0.655, 81.5, 97.6, 69.9
3712, 2.92, 0.000375, 5.36, 5.873, 0.654, 81.4, 97.7, 69.7
3840, 2.95, 0.0003643, 5.33, 5.848, 0.659, 81.8, 97.7, 70.4
3968, 3.07, 0.0003536, 5.35, 5.837, 0.661, 81.9, 97.7, 70.5
4096, 2.96, 0.0003429, 5.3, 5.816, 0.661, 81.9, 97.7, 70.5
4224, 2.91, 0.0003321, 5.26, 5.826, 0.66, 81.8, 97.8, 70.3
4352, 2.93, 0.0003214, 5.25, 5.811, 0.662, 81.9, 97.8, 70.5
4480, 2.98, 0.0003107, 5.25, 5.82, 0.664, 82.1, 97.8, 70.7
4608, 2.94, 0.0003, 5.2, 5.809, 0.665, 82.3, 97.7, 71.0
4736, 3.02, 0.0002893, 5.21, 5.795, 0.667, 82.3, 97.8, 71.1
4864, 2.96, 0.0002786, 5.2, 5.796, 0.666, 82.3, 97.7, 71.1
4992, 2.94, 0.0002679, 5.17, 5.784, 0.669, 82.5, 97.7, 71.4
5120, 3.03, 0.0002571, 5.15, 5.777, 0.67, 82.6, 97.7, 71.6
5248, 2.88, 0.0002464, 5.13, 5.778, 0.665, 82.2, 97.7, 70.9
5376, 3.01, 0.0002357, 5.14, 5.776, 0.666, 82.3, 97.8, 71.0
5504, 2.93, 0.000225, 5.12, 5.774, 0.666, 82.4, 97.7, 71.2
5632, 2.98, 0.0002143, 5.11, 5.758, 0.672, 82.8, 97.8, 71.7
5760, 2.96, 0.0002036, 5.08, 5.762, 0.669, 82.5, 97.7, 71.4
5888, 3.01, 0.0001929, 5.11, 5.763, 0.67, 82.6, 97.8, 71.5
6016, 2.89, 0.0001821, 5.07, 5.756, 0.671, 82.6, 97.8, 71.5
6144, 2.97, 0.0001714, 5.05, 5.762, 0.668, 82.4, 97.8, 71.2
6272, 2.92, 0.0001607, 5.05, 5.747, 0.671, 82.7, 97.8, 71.7
6400, 3.04, 0.00015, 5.06, 5.753, 0.671, 82.6, 97.8, 71.6
6528, 2.97, 0.0001393, 5.03, 5.741, 0.674, 83.0, 97.8, 72.0
