step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 0.0069991, n/a, 6.095, -0.003, 13.0, 21.6, 9.3
128, 2.21, 0.0068906, 3.46, 2.967, 0.822, 86.2, 82.9, 89.7
256, 2.21, 0.0067812, 2.79, 2.68, 0.858, 88.9, 86.9, 91.0
384, 2.22, 0.0066719, 2.62, 2.591, 0.865, 89.5, 87.8, 91.3
512, 2.23, 0.0065625, 2.52, 2.542, 0.869, 89.8, 88.4, 91.2
640, 2.19, 0.0064531, 2.5, 2.517, 0.875, 90.2, 89.0, 91.5
768, 2.24, 0.0063438, 2.49, 2.505, 0.875, 90.3, 89.2, 91.4
896, 2.2, 0.0062344, 2.44, 2.489, 0.876, 90.4, 89.4, 91.4
1024, 2.24, 0.006125, 2.45, 2.475, 0.875, 90.2, 89.4, 91.1
1152, 2.18, 0.0060156, 2.42, 2.462, 0.875, 90.3, 89.5, 91.1
1280, 2.23, 0.0059063, 2.43, 2.456, 0.876, 90.3, 89.6, 91.0
1408, 2.17, 0.0057969, 2.41, 2.483, 0.879, 90.6, 89.7, 91.4
1536, 2.24, 0.0056875, 2.4, 2.443, 0.876, 90.3, 89.8, 90.9
1664, 2.23, 0.0055781, 2.39, 2.435, 0.877, 90.4, 89.9, 90.9
1792, 2.19, 0.0054688, 2.41, 2.429, 0.876, 90.4, 90.0, 90.7
1920, 2.2, 0.0053594, 2.37, 2.423, 0.877, 90.4, 89.9, 90.9
2048, 2.23, 0.00525, 2.36, 2.416, 0.876, 90.3, 90.0, 90.6
2176, 2.18, 0.0051406, 2.39, 2.412, 0.875, 90.3, 90.0, 90.6
2304, 2.15, 0.0050313, 2.37, 2.407, 0.877, 90.4, 90.1, 90.7
2432, 2.23, 0.0049219, 2.36, 2.406, 0.876, 90.3, 90.2, 90.5
2560, 2.2, 0.0048125, 2.35, 2.407, 0.879, 90.5, 90.2, 90.9
2688, 2.18, 0.0047031, 2.36, 2.398, 0.877, 90.4, 90.1, 90.8
2816, 2.15, 0.0045937, 2.36, 2.398, 0.877, 90.4, 90.1, 90.7
2944, 2.18, 0.0044844, 2.37, 2.395, 0.875, 90.3, 90.1, 90.4
3072, 2.19, 0.004375, 2.35, 2.393, 0.877, 90.4, 90.2, 90.6
3200, 2.2, 0.0042656, 2.35, 2.393, 0.877, 90.4, 90.1, 90.7
3328, 2.16, 0.0041563, 2.34, 2.386, 0.877, 90.4, 90.2, 90.6
3456, 2.16, 0.0040469, 2.34, 2.387, 0.875, 90.3, 90.2, 90.3
3584, 2.18, 0.0039375, 2.34, 2.385, 0.875, 90.2, 90.2, 90.3
3712, 2.16, 0.0038281, 2.33, 2.402, 0.876, 90.4, 90.2, 90.6
3840, 2.19, 0.0037188, 2.33, 2.378, 0.876, 90.3, 90.3, 90.3
3968, 2.13, 0.0036094, 2.34, 2.378, 0.876, 90.3, 90.2, 90.4
4096, 2.18, 0.0035, 2.32, 2.376, 0.876, 90.4, 90.2, 90.5
4224, 2.15, 0.0033906, 2.32, 2.374, 0.875, 90.3, 90.3, 90.3
4352, 2.21, 0.0032812, 2.34, 2.374, 0.875, 90.2, 90.2, 90.2
4480, 2.2, 0.0031719, 2.34, 2.376, 0.875, 90.2, 90.3, 90.2
4608, 2.18, 0.0030625, 2.32, 2.367, 0.874, 90.1, 90.2, 90.0
4736, 2.2, 0.0029531, 2.32, 2.371, 0.875, 90.2, 90.3, 90.2
4864, 2.14, 0.0028437, 2.34, 2.37, 0.875, 90.2, 90.3, 90.2
4992, 2.15, 0.0027344, 2.32, 2.371, 0.874, 90.2, 90.3, 90.1
5120, 2.2, 0.002625, 2.34, 2.367, 0.875, 90.2, 90.3, 90.1
5248, 2.15, 0.0025156, 2.31, 2.367, 0.874, 90.2, 90.3, 90.1
5376, 2.18, 0.0024062, 2.31, 2.367, 0.875, 90.2, 90.3, 90.1
5504, 2.19, 0.0022969, 2.31, 2.363, 0.874, 90.2, 90.3, 90.0
5632, 2.17, 0.0021875, 2.31, 2.359, 0.874, 90.2, 90.4, 90.0
5760, 2.18, 0.0020781, 2.32, 2.363, 0.875, 90.3, 90.4, 90.2
5888, 2.15, 0.0019688, 2.32, 2.364, 0.874, 90.2, 90.3, 90.0
6016, 2.14, 0.0018594, 2.31, 2.362, 0.874, 90.1, 90.3, 90.0
6144, 2.15, 0.00175, 2.31, 2.357, 0.874, 90.2, 90.3, 90.0
6272, 2.16, 0.0016406, 2.31, 2.354, 0.874, 90.2, 90.3, 90.0
6400, 2.16, 0.0015313, 2.31, 2.353, 0.874, 90.2, 90.4, 90.0
6528, 2.13, 0.0014219, 2.3, 2.359, 0.874, 90.1, 90.3, 89.9
6656, 2.13, 0.0013125, 2.31, 2.35, 0.874, 90.2, 90.3, 90.0
6784, 2.16, 0.0012031, 2.3, 2.351, 0.873, 90.1, 90.3, 89.8
6912, 2.16, 0.0010938, 2.31, 2.35, 0.874, 90.1, 90.3, 89.9
