step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 0.0005999, n/a, 6.132, 0.031, 15.7, 25.9, 11.2
128, 2.2, 0.0005906, 4.2, 3.81, 0.069, 28.8, 26.8, 31.2
256, 2.3, 0.0005812, 3.68, 3.591, 0.252, 41.4, 42.0, 40.7
384, 2.27, 0.0005719, 3.49, 3.425, 0.446, 56.5, 57.5, 55.6
512, 2.24, 0.0005625, 3.33, 3.247, 0.59, 67.6, 70.4, 64.9
640, 2.21, 0.0005531, 3.17, 3.095, 0.652, 72.5, 75.4, 69.9
768, 2.22, 0.0005437, 3.04, 2.985, 0.684, 75.0, 78.1, 72.2
896, 2.2, 0.0005344, 2.94, 2.897, 0.721, 78.1, 79.5, 76.8
1024, 2.25, 0.000525, 2.85, 2.828, 0.731, 78.9, 80.0, 77.9
1152, 2.18, 0.0005156, 2.79, 2.775, 0.738, 79.5, 80.6, 78.3
1280, 2.2, 0.0005062, 2.74, 2.734, 0.746, 80.1, 81.0, 79.1
1408, 2.21, 0.0004969, 2.71, 2.698, 0.751, 80.5, 81.4, 79.6
1536, 2.23, 0.0004875, 2.68, 2.67, 0.757, 81.0, 81.9, 80.0
1664, 2.17, 0.0004781, 2.63, 2.634, 0.769, 81.9, 82.8, 80.9
1792, 2.16, 0.0004687, 2.61, 2.61, 0.771, 82.1, 83.0, 81.1
1920, 2.17, 0.0004594, 2.58, 2.588, 0.773, 82.3, 83.3, 81.3
2048, 2.16, 0.00045, 2.56, 2.57, 0.777, 82.5, 83.6, 81.5
2176, 2.17, 0.0004406, 2.55, 2.553, 0.782, 83.0, 83.8, 82.1
2304, 2.16, 0.0004312, 2.52, 2.534, 0.782, 82.9, 84.2, 81.7
2432, 2.18, 0.0004219, 2.5, 2.521, 0.788, 83.4, 84.4, 82.3
2560, 2.19, 0.0004125, 2.49, 2.503, 0.79, 83.6, 84.7, 82.4
2688, 2.2, 0.0004031, 2.48, 2.491, 0.791, 83.6, 84.9, 82.4
2816, 2.18, 0.0003937, 2.45, 2.478, 0.794, 83.8, 85.0, 82.7
2944, 2.18, 0.0003844, 2.45, 2.47, 0.796, 84.0, 85.2, 82.9
3072, 2.16, 0.000375, 2.45, 2.465, 0.793, 83.8, 85.3, 82.3
3200, 2.19, 0.0003656, 2.42, 2.45, 0.796, 84.0, 85.4, 82.6
3328, 2.14, 0.0003562, 2.41, 2.44, 0.8, 84.3, 85.6, 83.0
3456, 2.19, 0.0003469, 2.41, 2.432, 0.801, 84.4, 85.5, 83.2
3584, 2.21, 0.0003375, 2.4, 2.427, 0.8, 84.4, 85.5, 83.2
3712, 2.11, 0.0003281, 2.39, 2.414, 0.802, 84.4, 85.7, 83.3
3840, 2.19, 0.0003187, 2.38, 2.405, 0.802, 84.5, 85.7, 83.3
3968, 2.16, 0.0003094, 2.37, 2.401, 0.803, 84.6, 85.7, 83.5
4096, 2.18, 0.0003, 2.37, 2.394, 0.803, 84.6, 85.8, 83.4
4224, 2.17, 0.0002906, 2.35, 2.39, 0.804, 84.6, 85.9, 83.4
4352, 2.15, 0.0002812, 2.35, 2.388, 0.803, 84.6, 85.9, 83.3
4480, 2.16, 0.0002719, 2.35, 2.377, 0.806, 84.8, 85.9, 83.7
4608, 2.15, 0.0002625, 2.33, 2.374, 0.805, 84.7, 85.9, 83.6
4736, 2.19, 0.0002531, 2.33, 2.367, 0.806, 84.8, 85.9, 83.6
4864, 2.15, 0.0002437, 2.33, 2.364, 0.807, 84.9, 86.0, 83.9
4992, 2.17, 0.0002344, 2.33, 2.363, 0.807, 84.8, 85.9, 83.8
5120, 2.19, 0.000225, 2.32, 2.357, 0.806, 84.8, 86.0, 83.7
5248, 2.18, 0.0002156, 2.32, 2.353, 0.807, 84.9, 86.0, 83.8
5376, 2.15, 0.0002062, 2.31, 2.348, 0.809, 85.0, 86.0, 84.0
5504, 2.2, 0.0001969, 2.3, 2.344, 0.808, 84.9, 86.0, 83.9
5632, 2.17, 0.0001875, 2.3, 2.343, 0.808, 85.0, 86.1, 83.9
5760, 2.21, 0.0001781, 2.3, 2.337, 0.808, 85.0, 86.1, 83.8
5888, 2.17, 0.0001687, 2.29, 2.339, 0.81, 85.1, 86.1, 84.1
6016, 2.21, 0.0001594, 2.31, 2.334, 0.808, 84.9, 86.1, 83.8
6144, 2.13, 0.00015, 2.29, 2.332, 0.809, 85.0, 86.1, 83.9
6272, 2.25, 0.0001406, 2.29, 2.329, 0.808, 84.9, 86.1, 83.8
6400, 2.29, 0.0001312, 2.29, 2.327, 0.808, 84.9, 86.1, 83.8
6528, 2.24, 0.0001219, 2.28, 2.324, 0.808, 85.0, 86.1, 83.9
