step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 0.0069991, n/a, 6.108, -0.003, 13.0, 21.5, 9.3
128, 2.22, 0.0068906, 3.4, 2.904, 0.838, 87.4, 84.0, 91.0
256, 2.28, 0.0067812, 2.72, 2.648, 0.864, 89.4, 86.6, 92.5
384, 2.27, 0.0066719, 2.56, 2.538, 0.873, 90.1, 87.5, 92.9
512, 2.25, 0.0065625, 2.48, 2.517, 0.875, 90.3, 87.5, 93.3
640, 2.26, 0.0064531, 2.42, 2.42, 0.884, 91.0, 88.1, 94.0
768, 2.22, 0.0063438, 2.38, 2.389, 0.881, 90.8, 88.1, 93.6
896, 2.21, 0.0062344, 2.33, 2.356, 0.884, 91.0, 88.2, 93.9
1024, 2.24, 0.006125, 2.3, 2.322, 0.883, 90.9, 88.3, 93.6
1152, 2.15, 0.0060156, 2.27, 2.307, 0.885, 91.0, 88.3, 93.9
1280, 2.18, 0.0059063, 2.25, 2.287, 0.883, 90.9, 88.4, 93.6
1408, 2.17, 0.0057969, 2.22, 2.274, 0.885, 91.0, 88.5, 93.7
1536, 2.14, 0.0056875, 2.26, 2.288, 0.883, 90.9, 88.4, 93.6
1664, 2.16, 0.0055781, 2.19, 2.25, 0.884, 91.0, 88.4, 93.7
1792, 2.14, 0.0054688, 2.19, 2.234, 0.885, 91.1, 88.4, 93.8
1920, 2.14, 0.0053594, 2.17, 2.222, 0.885, 91.1, 88.6, 93.7
2048, 2.14, 0.00525, 2.15, 2.21, 0.887, 91.2, 88.5, 94.0
2176, 2.12, 0.0051406, 2.15, 2.206, 0.885, 91.1, 88.5, 93.8
2304, 2.15, 0.0050313, 2.14, 2.196, 0.887, 91.2, 88.5, 94.0
2432, 2.16, 0.0049219, 2.16, 2.204, 0.885, 91.0, 88.5, 93.7
2560, 2.14, 0.0048125, 2.13, 2.182, 0.887, 91.2, 88.6, 93.9
2688, 2.16, 0.0047031, 2.13, 2.182, 0.886, 91.1, 88.5, 93.8
2816, 2.14, 0.0045937, 2.12, 2.173, 0.886, 91.1, 88.5, 93.9
2944, 2.17, 0.0044844, 2.11, 2.175, 0.887, 91.2, 88.5, 94.1
3072, 2.16, 0.004375, 2.11, 2.17, 0.885, 91.0, 88.4, 93.8
3200, 2.11, 0.0042656, 2.09, 2.155, 0.888, 91.2, 88.6, 94.0
3328, 2.13, 0.0041563, 2.09, 2.15, 0.887, 91.2, 88.6, 93.9
3456, 2.16, 0.0040469, 2.07, 2.144, 0.887, 91.2, 88.6, 93.9
3584, 2.15, 0.0039375, 2.07, 2.147, 0.887, 91.2, 88.6, 93.9
3712, 2.09, 0.0038281, 2.07, 2.136, 0.888, 91.3, 88.6, 94.1
3840, 2.14, 0.0037188, 2.07, 2.136, 0.887, 91.2, 88.6, 94.0
3968, 2.16, 0.0036094, 2.07, 2.127, 0.889, 91.3, 88.6, 94.2
4096, 2.11, 0.0035, 2.04, 2.128, 0.887, 91.2, 88.6, 93.9
4224, 2.13, 0.0033906, 2.06, 2.125, 0.887, 91.2, 88.6, 93.9
4352, 2.15, 0.0032812, 2.05, 2.119, 0.887, 91.2, 88.6, 94.0
4480, 2.14, 0.0031719, 2.04, 2.116, 0.888, 91.3, 88.6, 94.1
4608, 2.12, 0.0030625, 2.05, 2.11, 0.888, 91.3, 88.6, 94.1
4736, 2.15, 0.0029531, 2.03, 2.107, 0.887, 91.2, 88.6, 94.0
4864, 2.13, 0.0028437, 2.03, 2.107, 0.887, 91.2, 88.6, 94.0
4992, 2.12, 0.0027344, 2.01, 2.102, 0.887, 91.2, 88.6, 93.9
5120, 2.15, 0.002625, 2.03, 2.098, 0.888, 91.3, 88.6, 94.1
5248, 2.14, 0.0025156, 2.01, 2.103, 0.887, 91.2, 88.7, 93.9
5376, 2.11, 0.0024062, 2.01, 2.095, 0.887, 91.2, 88.6, 94.0
5504, 2.11, 0.0022969, 2.01, 2.092, 0.887, 91.2, 88.6, 93.9
5632, 2.08, 0.0021875, 2.01, 2.093, 0.887, 91.2, 88.6, 93.9
5760, 2.15, 0.0020781, 1.99, 2.084, 0.886, 91.2, 88.6, 93.9
5888, 2.16, 0.0019688, 2.01, 2.082, 0.887, 91.2, 88.6, 93.9
6016, 2.11, 0.0018594, 1.98, 2.082, 0.887, 91.2, 88.6, 93.9
6144, 2.14, 0.00175, 1.98, 2.08, 0.888, 91.3, 88.7, 94.0
6272, 2.1, 0.0016406, 1.99, 2.08, 0.887, 91.2, 88.6, 93.9
6400, 2.15, 0.0015313, 2.0, 2.073, 0.887, 91.2, 88.6, 94.0
6528, 2.09, 0.0014219, 1.98, 2.074, 0.887, 91.2, 88.7, 94.0
6656, 2.16, 0.0013125, 1.97, 2.072, 0.888, 91.3, 88.6, 94.0
6784, 2.11, 0.0012031, 1.97, 2.069, 0.887, 91.2, 88.6, 93.9
6912, 2.12, 0.0010938, 1.98, 2.067, 0.887, 91.2, 88.7, 93.9
7040, 2.1, 0.0009844, 1.98, 2.065, 0.888, 91.2, 88.7, 94.0
7168, 2.11, 0.000875, 1.97, 2.064, 0.888, 91.2, 88.6, 94.0
7296, 2.13, 0.0007656, 1.96, 2.062, 0.887, 91.2, 88.6, 94.0
7424, 2.14, 0.0006563, 1.97, 2.059, 0.887, 91.2, 88.7, 94.0
7552, 2.13, 0.0005469, 1.96, 2.059, 0.888, 91.3, 88.7, 94.0
7680, 2.07, 0.0004375, 1.95, 2.058, 0.887, 91.2, 88.7, 93.9
7808, 2.13, 0.0003281, 1.96, 2.056, 0.887, 91.2, 88.7, 94.0
7936, 2.11, 0.0002188, 1.95, 2.055, 0.887, 91.2, 88.7, 93.9
8064, 2.1, 0.0001094, 1.95, 2.054, 0.887, 91.2, 88.6, 93.9
8192, 2.14, 0.0, 1.96, 2.054, 0.887, 91.2, 88.7, 93.9
