step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 2.9e-06, n/a, 14.876, 0.007, 30.0, 62.9, 19.7
128, 2.08, 0.000375, 11.81, 9.158, 0.429, 74.0, 83.0, 66.9
256, 2.16, 0.00075, 8.51, 8.011, 0.681, 85.5, 93.9, 78.5
384, 2.04, 0.001125, 7.45, 7.283, 0.725, 87.5, 95.8, 80.5
512, 2.12, 0.0015, 6.95, 6.962, 0.73, 87.4, 96.6, 79.8
640, 2.16, 0.001875, 6.69, 6.779, 0.731, 87.3, 97.1, 79.3
768, 2.08, 0.00225, 6.5, 6.698, 0.728, 87.0, 97.3, 78.6
896, 1.96, 0.002625, 6.41, 6.617, 0.71, 85.5, 97.8, 76.0
1024, 2.22, 0.003, 6.39, 6.611, 0.693, 84.2, 98.1, 73.7
1152, 2.12, 0.0029464, 6.28, 6.583, 0.598, 76.2, 98.1, 62.3
1280, 2.15, 0.0028929, 6.23, 6.493, 0.575, 73.9, 98.1, 59.3
1408, 2.06, 0.0028393, 6.13, 6.445, 0.561, 72.5, 98.1, 57.5
1536, 1.96, 0.0027857, 6.05, 6.388, 0.556, 71.9, 98.2, 56.7
1664, 2.11, 0.0027321, 6.02, 6.37, 0.521, 68.0, 98.3, 52.0
1792, 2.05, 0.0026786, 5.91, 6.311, 0.53, 69.0, 98.3, 53.2
1920, 2.07, 0.002625, 5.9, 6.288, 0.525, 68.5, 98.3, 52.6
2048, 2.03, 0.0025714, 5.83, 6.284, 0.518, 67.6, 98.3, 51.5
2176, 2.06, 0.0025179, 5.8, 6.266, 0.521, 67.9, 98.4, 51.8
2304, 2.09, 0.0024643, 5.79, 6.232, 0.51, 66.7, 98.3, 50.5
2432, 2.01, 0.0024107, 5.73, 6.244, 0.509, 66.5, 98.3, 50.3
2560, 2.16, 0.0023571, 5.72, 6.205, 0.517, 67.5, 98.3, 51.4
2688, 1.98, 0.0023036, 5.7, 6.223, 0.505, 66.2, 98.3, 49.9
2816, 2.04, 0.00225, 5.67, 6.216, 0.507, 66.4, 98.3, 50.1
2944, 2.03, 0.0021964, 5.62, 6.21, 0.508, 66.4, 98.3, 50.2
3072, 2.05, 0.0021429, 5.66, 6.206, 0.497, 65.2, 98.3, 48.8
3200, 2.03, 0.0020893, 5.61, 6.182, 0.499, 65.4, 98.3, 49.0
3328, 2.04, 0.0020357, 5.6, 6.166, 0.514, 67.1, 98.4, 50.9
3456, 1.97, 0.0019821, 5.55, 6.189, 0.492, 64.6, 98.2, 48.1
3584, 2.09, 0.0019286, 5.55, 6.177, 0.505, 66.2, 98.3, 49.9
3712, 2.03, 0.001875, 5.56, 6.17, 0.502, 65.7, 98.3, 49.4
3840, 2.05, 0.0018214, 5.52, 6.166, 0.489, 64.3, 98.2, 47.7
3968, 2.03, 0.0017679, 5.51, 6.156, 0.5, 65.6, 98.3, 49.2
4096, 2.06, 0.0017143, 5.48, 6.151, 0.495, 65.0, 98.2, 48.6
4224, 2.03, 0.0016607, 5.47, 6.167, 0.487, 63.9, 98.3, 47.4
4352, 2.0, 0.0016071, 5.47, 6.132, 0.501, 65.7, 98.3, 49.3
4480, 1.98, 0.0015536, 5.46, 6.14, 0.501, 65.7, 98.3, 49.3
4608, 2.15, 0.0015, 5.43, 6.148, 0.494, 64.8, 98.3, 48.4
4736, 1.98, 0.0014464, 5.43, 6.146, 0.497, 65.2, 98.2, 48.8
4864, 2.07, 0.0013929, 5.41, 6.132, 0.496, 65.1, 98.2, 48.7
4992, 1.97, 0.0013393, 5.41, 6.121, 0.501, 65.8, 98.2, 49.4
5120, 1.99, 0.0012857, 5.37, 6.125, 0.499, 65.4, 98.3, 49.0
