step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.878, 0.002, 29.8, 62.4, 19.6
128, 2.06, 7.5e-05, 14.2, 12.603, 0.167, 40.8, 77.3, 27.7
256, 1.99, 0.00015, 9.68, 9.217, 0.284, 63.5, 78.2, 53.5
384, 2.09, 0.000225, 8.89, 8.734, 0.546, 77.7, 90.4, 68.1
512, 2.15, 0.0003, 8.29, 8.127, 0.654, 83.9, 93.6, 75.9
640, 1.97, 0.000375, 7.71, 7.626, 0.712, 87.1, 94.8, 80.6
768, 2.12, 0.00045, 7.27, 7.248, 0.725, 87.7, 95.3, 81.2
896, 2.01, 0.000525, 6.96, 7.1, 0.733, 88.0, 95.9, 81.3
1024, 1.97, 0.0006, 6.72, 6.775, 0.743, 88.5, 96.0, 82.1
1152, 2.07, 0.0005893, 6.52, 6.619, 0.74, 88.2, 96.3, 81.3
1280, 1.97, 0.0005786, 6.37, 6.479, 0.745, 88.4, 96.4, 81.7
1408, 2.01, 0.0005679, 6.24, 6.424, 0.745, 88.4, 96.6, 81.4
1536, 2.11, 0.0005571, 6.15, 6.355, 0.746, 88.4, 96.7, 81.5
1664, 2.0, 0.0005464, 6.06, 6.248, 0.745, 88.3, 96.8, 81.1
1792, 2.04, 0.0005357, 5.98, 6.241, 0.749, 88.5, 96.8, 81.6
1920, 2.03, 0.000525, 5.91, 6.182, 0.748, 88.5, 96.8, 81.5
2048, 2.07, 0.0005143, 5.84, 6.104, 0.751, 88.7, 96.9, 81.7
2176, 2.04, 0.0005036, 5.8, 6.086, 0.751, 88.6, 97.0, 81.6
2304, 2.05, 0.0004929, 5.75, 6.035, 0.754, 88.8, 97.0, 81.8
2432, 2.03, 0.0004821, 5.71, 5.999, 0.749, 88.4, 97.1, 81.1
2560, 2.02, 0.0004714, 5.65, 5.986, 0.753, 88.7, 97.0, 81.7
2688, 2.0, 0.0004607, 5.61, 5.925, 0.753, 88.7, 97.1, 81.6
2816, 2.01, 0.00045, 5.58, 5.925, 0.753, 88.7, 97.1, 81.6
2944, 2.06, 0.0004393, 5.55, 5.897, 0.755, 88.8, 97.2, 81.7
3072, 1.99, 0.0004286, 5.52, 5.87, 0.753, 88.6, 97.2, 81.4
3200, 2.0, 0.0004179, 5.49, 5.871, 0.754, 88.7, 97.2, 81.5
3328, 2.05, 0.0004071, 5.45, 5.841, 0.754, 88.7, 97.2, 81.6
3456, 2.0, 0.0003964, 5.42, 5.831, 0.756, 88.8, 97.2, 81.7
3584, 2.01, 0.0003857, 5.37, 5.808, 0.756, 88.8, 97.2, 81.7
3712, 2.02, 0.000375, 5.4, 5.838, 0.756, 88.8, 97.3, 81.7
3840, 2.04, 0.0003643, 5.36, 5.791, 0.756, 88.8, 97.3, 81.6
3968, 2.02, 0.0003536, 5.35, 5.773, 0.756, 88.8, 97.2, 81.7
4096, 2.12, 0.0003429, 5.3, 5.769, 0.755, 88.7, 97.3, 81.6
4224, 2.05, 0.0003321, 5.29, 5.82, 0.756, 88.8, 97.3, 81.6
4352, 1.98, 0.0003214, 5.26, 5.752, 0.757, 88.8, 97.3, 81.7
4480, 2.04, 0.0003107, 5.25, 5.744, 0.757, 88.9, 97.3, 81.8
4608, 1.93, 0.0003, 5.22, 5.736, 0.756, 88.7, 97.3, 81.5
4736, 2.0, 0.0002893, 5.22, 5.752, 0.756, 88.8, 97.3, 81.6
4864, 2.1, 0.0002786, 5.21, 5.724, 0.755, 88.7, 97.4, 81.4
4992, 2.03, 0.0002679, 5.18, 5.724, 0.758, 88.8, 97.4, 81.7
5120, 2.01, 0.0002571, 5.16, 5.72, 0.758, 88.9, 97.3, 81.8
5248, 2.06, 0.0002464, 5.15, 5.711, 0.757, 88.8, 97.4, 81.6
5376, 2.01, 0.0002357, 5.14, 5.706, 0.757, 88.8, 97.4, 81.7
5504, 2.02, 0.000225, 5.14, 5.696, 0.756, 88.8, 97.4, 81.6
5632, 2.04, 0.0002143, 5.12, 5.715, 0.758, 88.9, 97.4, 81.7
5760, 2.0, 0.0002036, 5.1, 5.711, 0.757, 88.8, 97.4, 81.7
5888, 2.12, 0.0001929, 5.08, 5.706, 0.759, 88.9, 97.4, 81.8
6016, 1.98, 0.0001821, 5.08, 5.707, 0.757, 88.8, 97.4, 81.6
6144, 1.99, 0.0001714, 5.04, 5.689, 0.758, 88.9, 97.4, 81.7
6272, 2.11, 0.0001607, 5.09, 5.698, 0.758, 88.8, 97.4, 81.7
