step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 14.86, 0.003, 29.9, 62.6, 19.6
128, 2.02, 0.000125, 13.7, 10.231, 0.319, 67.0, 79.1, 58.1
256, 2.0, 0.00025, 9.18, 8.992, 0.397, 69.1, 84.3, 58.6
384, 2.03, 0.000375, 8.48, 8.263, 0.438, 65.0, 91.6, 50.4
512, 2.07, 0.0005, 7.77, 7.687, 0.503, 69.9, 94.3, 55.6
640, 1.94, 0.000625, 7.29, 7.327, 0.532, 71.8, 95.6, 57.4
768, 1.99, 0.00075, 7.01, 7.115, 0.55, 73.2, 96.1, 59.1
896, 1.99, 0.000875, 6.77, 6.89, 0.544, 72.0, 96.8, 57.3
1024, 2.04, 0.001, 6.57, 6.687, 0.557, 73.2, 96.9, 58.8
1152, 2.03, 0.0009821, 6.33, 6.544, 0.56, 73.3, 97.2, 58.8
1280, 1.97, 0.0009643, 6.22, 6.367, 0.569, 74.1, 97.2, 59.8
1408, 1.99, 0.0009464, 6.05, 6.27, 0.582, 75.2, 97.4, 61.2
1536, 2.0, 0.0009286, 5.96, 6.19, 0.588, 75.8, 97.4, 62.0
1664, 2.06, 0.0009107, 5.85, 6.115, 0.583, 75.3, 97.5, 61.3
1792, 1.94, 0.0008929, 5.72, 6.045, 0.61, 77.6, 97.7, 64.4
1920, 2.06, 0.000875, 5.71, 6.001, 0.605, 77.2, 97.7, 63.8
2048, 2.04, 0.0008571, 5.61, 5.961, 0.615, 78.1, 97.7, 65.0
2176, 2.05, 0.0008393, 5.53, 5.945, 0.624, 78.8, 97.7, 66.1
2304, 1.98, 0.0008214, 5.5, 5.904, 0.624, 78.9, 97.7, 66.2
2432, 2.02, 0.0008036, 5.43, 5.887, 0.632, 79.5, 97.8, 67.0
2560, 2.01, 0.0007857, 5.39, 5.853, 0.638, 80.0, 97.8, 67.6
2688, 2.04, 0.0007679, 5.37, 5.837, 0.638, 80.1, 97.7, 67.8
2816, 1.99, 0.00075, 5.3, 5.811, 0.636, 79.8, 97.8, 67.3
2944, 2.03, 0.0007321, 5.28, 5.812, 0.645, 80.6, 97.8, 68.5
3072, 2.03, 0.0007143, 5.25, 5.806, 0.641, 80.3, 97.8, 68.1
3200, 1.99, 0.0006964, 5.19, 5.776, 0.643, 80.4, 97.8, 68.2
3328, 2.03, 0.0006786, 5.21, 5.781, 0.649, 80.8, 97.9, 68.9
3456, 2.0, 0.0006607, 5.15, 5.778, 0.646, 80.6, 97.9, 68.5
3584, 2.02, 0.0006429, 5.12, 5.746, 0.649, 80.9, 97.8, 69.1
3712, 1.97, 0.000625, 5.09, 5.757, 0.649, 80.9, 97.9, 68.9
3840, 2.01, 0.0006071, 5.06, 5.748, 0.659, 81.7, 97.8, 70.2
3968, 2.1, 0.0005893, 5.09, 5.73, 0.655, 81.3, 97.8, 69.6
4096, 2.02, 0.0005714, 5.03, 5.714, 0.653, 81.2, 97.8, 69.5
4224, 1.99, 0.0005536, 4.99, 5.725, 0.652, 81.1, 97.9, 69.2
4352, 2.0, 0.0005357, 4.99, 5.716, 0.652, 81.2, 97.8, 69.3
4480, 2.03, 0.0005179, 4.98, 5.724, 0.655, 81.4, 97.8, 69.7
4608, 2.01, 0.0005, 4.93, 5.728, 0.658, 81.7, 97.8, 70.1
4736, 2.06, 0.0004821, 4.95, 5.704, 0.662, 81.9, 97.8, 70.5
4864, 2.0, 0.0004643, 4.94, 5.717, 0.661, 81.9, 97.8, 70.4
4992, 2.0, 0.0004464, 4.91, 5.704, 0.657, 81.6, 97.8, 70.0
5120, 2.07, 0.0004286, 4.88, 5.7, 0.664, 82.2, 97.8, 70.9
5248, 1.95, 0.0004107, 4.86, 5.704, 0.659, 81.6, 97.9, 70.0
5376, 2.04, 0.0003929, 4.88, 5.702, 0.658, 81.6, 97.8, 70.0
5504, 2.0, 0.000375, 4.86, 5.704, 0.659, 81.7, 97.8, 70.1
5632, 2.02, 0.0003571, 4.85, 5.692, 0.664, 82.1, 97.8, 70.8
5760, 2.01, 0.0003393, 4.81, 5.7, 0.662, 82.0, 97.8, 70.6
5888, 2.06, 0.0003214, 4.84, 5.696, 0.661, 81.9, 97.8, 70.4
6016, 1.96, 0.0003036, 4.8, 5.694, 0.658, 81.6, 97.8, 70.0
6144, 2.01, 0.0002857, 4.78, 5.7, 0.66, 81.8, 97.8, 70.2
6272, 1.98, 0.0002679, 4.78, 5.689, 0.663, 82.0, 97.8, 70.6
6400, 2.07, 0.00025, 4.79, 5.7, 0.663, 82.0, 97.8, 70.6
6528, 2.02, 0.0002321, 4.76, 5.688, 0.666, 82.2, 97.9, 70.9
6656, 1.98, 0.0002143, 4.79, 5.686, 0.667, 82.3, 97.8, 71.0
6784, 2.06, 0.0001964, 4.74, 5.695, 0.666, 82.3, 97.8, 71.1
6912, 2.0, 0.0001786, 4.76, 5.687, 0.665, 82.2, 97.8, 70.9
7040, 1.97, 0.0001607, 4.72, 5.682, 0.666, 82.2, 97.8, 70.9
7168, 2.01, 0.0001429, 4.75, 5.69, 0.664, 82.1, 97.8, 70.7
7296, 2.02, 0.000125, 4.72, 5.684, 0.665, 82.2, 97.8, 70.8
7424, 2.02, 0.0001071, 4.71, 5.684, 0.666, 82.2, 97.8, 70.9
7552, 2.0, 8.93e-05, 4.7, 5.687, 0.666, 82.2, 97.8, 70.9
7680, 2.02, 7.14e-05, 4.73, 5.685, 0.665, 82.2, 97.8, 70.9
7808, 2.03, 5.36e-05, 4.69, 5.687, 0.665, 82.2, 97.8, 70.9
7936, 1.99, 3.57e-05, 4.72, 5.684, 0.665, 82.1, 97.8, 70.8
8064, 2.03, 1.79e-05, 4.7, 5.686, 0.665, 82.2, 97.8, 70.9
8192, 1.91, 0.0, 4.67, 5.685, 0.665, 82.2, 97.8, 70.9
