step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 6.106, -0.012, 12.4, 20.5, 8.9
128, 1.89, 0.000125, 5.4, 4.419, -0.009, 22.1, 21.3, 23.0
256, 1.99, 0.00025, 4.16, 3.951, 0.158, 34.8, 33.8, 35.9
384, 2.07, 0.000375, 3.8, 3.691, 0.302, 46.5, 43.4, 50.1
512, 2.06, 0.0005, 3.58, 3.517, 0.411, 54.7, 51.5, 58.4
640, 1.93, 0.000625, 3.43, 3.351, 0.506, 62.1, 57.6, 67.3
768, 1.85, 0.00075, 3.26, 3.198, 0.564, 66.5, 60.4, 74.0
896, 1.93, 0.000875, 3.11, 3.053, 0.601, 69.4, 62.3, 78.2
1024, 1.94, 0.001, 2.97, 2.924, 0.627, 71.3, 63.4, 81.4
1152, 1.84, 0.0009821, 2.85, 2.804, 0.643, 72.5, 64.3, 83.1
1280, 1.89, 0.0009643, 2.75, 2.716, 0.65, 73.0, 64.4, 84.1
1408, 1.97, 0.0009464, 2.66, 2.654, 0.659, 73.5, 64.6, 85.3
1536, 1.89, 0.0009286, 2.61, 2.604, 0.665, 74.0, 64.8, 86.2
1664, 1.99, 0.0009107, 2.55, 2.561, 0.67, 74.4, 65.1, 86.7
1792, 1.92, 0.0008929, 2.5, 2.522, 0.675, 74.8, 65.4, 87.3
1920, 1.98, 0.000875, 2.49, 2.486, 0.677, 74.9, 65.3, 87.7
2048, 1.96, 0.0008571, 2.46, 2.472, 0.678, 75.0, 65.5, 87.6
2176, 1.91, 0.0008393, 2.43, 2.443, 0.682, 75.2, 65.5, 88.2
2304, 1.91, 0.0008214, 2.4, 2.421, 0.683, 75.3, 65.8, 88.1
2432, 2.01, 0.0008036, 2.38, 2.403, 0.684, 75.4, 65.8, 88.3
2560, 1.97, 0.0007857, 2.34, 2.386, 0.687, 75.6, 66.0, 88.5
2688, 1.92, 0.0007679, 2.33, 2.374, 0.689, 75.7, 66.0, 88.7
2816, 1.98, 0.00075, 2.33, 2.358, 0.687, 75.6, 66.0, 88.3
2944, 1.91, 0.0007321, 2.3, 2.347, 0.688, 75.7, 66.0, 88.6
3072, 1.98, 0.0007143, 2.31, 2.336, 0.691, 75.9, 66.0, 89.1
3200, 1.92, 0.0006964, 2.29, 2.325, 0.692, 75.9, 66.2, 89.1
3328, 1.95, 0.0006786, 2.27, 2.319, 0.691, 75.8, 66.2, 88.8
3456, 1.95, 0.0006607, 2.25, 2.31, 0.694, 76.1, 66.3, 89.4
3584, 1.88, 0.0006429, 2.25, 2.299, 0.692, 76.0, 66.3, 89.0
3712, 2.0, 0.000625, 2.23, 2.291, 0.694, 76.1, 66.3, 89.2
3840, 1.91, 0.0006071, 2.23, 2.284, 0.695, 76.2, 66.4, 89.4
3968, 1.86, 0.0005893, 2.23, 2.287, 0.696, 76.3, 66.4, 89.5
4096, 1.95, 0.0005714, 2.21, 2.274, 0.695, 76.2, 66.4, 89.3
4224, 2.01, 0.0005536, 2.21, 2.271, 0.696, 76.2, 66.6, 89.2
4352, 1.9, 0.0005357, 2.2, 2.26, 0.696, 76.2, 66.4, 89.4
4480, 1.89, 0.0005179, 2.2, 2.256, 0.697, 76.3, 66.5, 89.6
4608, 1.85, 0.0005, 2.18, 2.249, 0.698, 76.4, 66.6, 89.6
4736, 1.9, 0.0004821, 2.18, 2.242, 0.698, 76.4, 66.5, 89.7
