step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6.8e-06, n/a, 6.091, -0.01, 12.5, 20.6, 8.9
128, 1.91, 0.000875, 4.64, 3.851, 0.395, 52.6, 53.2, 52.1
256, 1.84, 0.00175, 3.59, 3.378, 0.682, 75.4, 72.3, 78.8
384, 1.89, 0.002625, 3.17, 2.99, 0.796, 84.1, 80.2, 88.5
512, 1.85, 0.0035, 2.86, 2.768, 0.823, 86.2, 83.9, 88.8
640, 1.87, 0.004375, 2.7, 2.637, 0.84, 87.6, 85.1, 90.1
768, 1.85, 0.00525, 2.65, 2.638, 0.845, 87.9, 87.2, 88.7
896, 1.86, 0.006125, 2.57, 2.583, 0.852, 88.5, 88.2, 88.7
1024, 1.89, 0.007, 2.54, 2.536, 0.849, 88.2, 88.3, 88.0
1152, 1.83, 0.006875, 2.49, 2.513, 0.851, 88.4, 88.6, 88.2
1280, 1.89, 0.00675, 2.48, 2.485, 0.852, 88.4, 88.7, 88.1
1408, 1.8, 0.006625, 2.45, 2.538, 0.849, 88.2, 88.7, 87.7
1536, 1.93, 0.0065, 2.44, 2.466, 0.854, 88.6, 89.0, 88.1
1664, 1.86, 0.006375, 2.41, 2.455, 0.854, 88.6, 89.1, 88.1
1792, 1.84, 0.00625, 2.43, 2.439, 0.847, 88.0, 89.2, 86.9
1920, 1.83, 0.006125, 2.38, 2.421, 0.855, 88.6, 89.3, 88.0
2048, 1.86, 0.006, 2.37, 2.423, 0.851, 88.3, 89.4, 87.3
2176, 1.9, 0.005875, 2.4, 2.412, 0.853, 88.5, 89.4, 87.7
2304, 1.87, 0.00575, 2.37, 2.402, 0.852, 88.4, 89.4, 87.4
2432, 1.89, 0.005625, 2.36, 2.405, 0.847, 88.0, 89.4, 86.6
2560, 1.9, 0.0055, 2.36, 2.401, 0.849, 88.2, 89.4, 87.0
2688, 1.84, 0.005375, 2.37, 2.404, 0.851, 88.4, 89.5, 87.2
2816, 1.82, 0.00525, 2.36, 2.397, 0.853, 88.5, 89.6, 87.5
2944, 1.83, 0.005125, 2.37, 2.39, 0.85, 88.2, 89.5, 86.9
3072, 1.87, 0.005, 2.35, 2.387, 0.849, 88.1, 89.6, 86.7
3200, 1.88, 0.004875, 2.34, 2.385, 0.849, 88.2, 89.6, 86.8
3328, 1.82, 0.00475, 2.34, 2.386, 0.849, 88.1, 89.6, 86.7
3456, 1.83, 0.004625, 2.35, 2.384, 0.85, 88.2, 89.7, 86.8
3584, 1.87, 0.0045, 2.34, 2.376, 0.845, 87.8, 89.6, 86.1
3712, 1.85, 0.004375, 2.33, 2.412, 0.845, 87.8, 89.5, 86.1
3840, 1.92, 0.00425, 2.32, 2.37, 0.849, 88.2, 89.7, 86.7
3968, 1.8, 0.004125, 2.33, 2.367, 0.847, 88.0, 89.6, 86.4
4096, 1.87, 0.004, 2.31, 2.363, 0.846, 87.9, 89.6, 86.3
4224, 1.81, 0.003875, 2.31, 2.362, 0.844, 87.8, 89.6, 86.0
4352, 1.87, 0.00375, 2.34, 2.365, 0.851, 88.3, 89.7, 87.0
4480, 1.89, 0.003625, 2.33, 2.375, 0.845, 87.8, 89.6, 86.0
4608, 1.87, 0.0035, 2.31, 2.363, 0.845, 87.8, 89.6, 86.1
4736, 1.88, 0.003375, 2.32, 2.362, 0.846, 87.9, 89.6, 86.2
4864, 1.81, 0.00325, 2.34, 2.37, 0.847, 88.0, 89.7, 86.3
4992, 1.83, 0.003125, 2.32, 2.361, 0.847, 88.0, 89.7, 86.3
5120, 1.88, 0.003, 2.34, 2.363, 0.844, 87.8, 89.7, 85.9
5248, 1.85, 0.002875, 2.31, 2.357, 0.846, 87.9, 89.7, 86.2
5376, 1.87, 0.00275, 2.31, 2.357, 0.843, 87.6, 89.7, 85.7
5504, 1.85, 0.002625, 2.29, 2.352, 0.845, 87.8, 89.7, 85.9
5632, 1.86, 0.0025, 2.29, 2.349, 0.843, 87.6, 89.7, 85.6
5760, 1.85, 0.002375, 2.31, 2.344, 0.844, 87.7, 89.8, 85.8
5888, 1.82, 0.00225, 2.31, 2.347, 0.843, 87.6, 89.7, 85.6
6016, 1.84, 0.002125, 2.29, 2.347, 0.844, 87.7, 89.8, 85.7
6144, 1.88, 0.002, 2.3, 2.342, 0.846, 87.9, 89.8, 86.0
6272, 1.9, 0.001875, 2.3, 2.336, 0.845, 87.8, 89.8, 85.9
6400, 1.85, 0.00175, 2.29, 2.337, 0.842, 87.5, 89.8, 85.4
6528, 1.83, 0.001625, 2.28, 2.34, 0.843, 87.6, 89.8, 85.5
6656, 1.82, 0.0015, 2.29, 2.331, 0.843, 87.6, 89.8, 85.5
6784, 1.88, 0.001375, 2.27, 2.329, 0.842, 87.5, 89.8, 85.4
6912, 1.85, 0.00125, 2.29, 2.329, 0.843, 87.7, 89.8, 85.6
7040, 1.85, 0.001125, 2.28, 2.327, 0.842, 87.5, 89.8, 85.4
7168, 1.86, 0.001, 2.28, 2.334, 0.841, 87.5, 89.8, 85.3
7296, 1.83, 0.000875, 2.27, 2.328, 0.841, 87.5, 89.8, 85.3
7424, 1.85, 0.00075, 2.28, 2.324, 0.842, 87.6, 89.8, 85.4
7552, 1.92, 0.000625, 2.27, 2.323, 0.84, 87.4, 89.8, 85.1
7680, 1.82, 0.0005, 2.28, 2.32, 0.841, 87.4, 89.8, 85.2
7808, 1.85, 0.000375, 2.26, 2.319, 0.841, 87.5, 89.8, 85.3
7936, 1.82, 0.00025, 2.26, 2.316, 0.841, 87.5, 89.8, 85.2
8064, 1.86, 0.000125, 2.26, 2.316, 0.841, 87.5, 89.8, 85.2
8192, 1.84, 0.0, 2.27, 2.314, 0.841, 87.5, 89.8, 85.3
