step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6.8e-06, n/a, 6.114, 0.009, 14.0, 23.1, 10.0
128, 1.84, 0.000875, 4.71, 3.837, 0.395, 52.3, 54.1, 50.7
256, 1.82, 0.00175, 3.55, 3.318, 0.747, 80.4, 78.2, 82.8
384, 1.86, 0.002625, 3.11, 2.942, 0.842, 87.8, 85.0, 90.7
512, 1.83, 0.0035, 2.79, 2.705, 0.863, 89.3, 85.9, 93.0
640, 1.79, 0.004375, 2.61, 2.592, 0.867, 89.7, 86.3, 93.3
768, 1.87, 0.00525, 2.48, 2.456, 0.875, 90.3, 86.9, 93.9
896, 1.82, 0.006125, 2.39, 2.391, 0.88, 90.6, 87.0, 94.6
1024, 1.8, 0.007, 2.34, 2.357, 0.882, 90.8, 87.2, 94.7
1152, 1.8, 0.006875, 2.32, 2.327, 0.882, 90.8, 87.2, 94.7
1280, 1.79, 0.00675, 2.25, 2.29, 0.882, 90.8, 87.2, 94.7
1408, 1.82, 0.006625, 2.24, 2.276, 0.884, 91.0, 87.3, 95.0
1536, 1.81, 0.0065, 2.2, 2.245, 0.884, 91.0, 87.3, 94.9
1664, 1.83, 0.006375, 2.21, 2.231, 0.883, 90.9, 87.1, 94.9
1792, 1.82, 0.00625, 2.17, 2.215, 0.884, 90.9, 87.5, 94.7
1920, 1.79, 0.006125, 2.15, 2.204, 0.884, 90.9, 87.4, 94.8
2048, 1.79, 0.006, 2.13, 2.192, 0.885, 91.0, 87.5, 94.8
2176, 1.82, 0.005875, 2.12, 2.179, 0.885, 91.0, 87.4, 94.9
2304, 1.77, 0.00575, 2.11, 2.171, 0.885, 91.1, 87.5, 95.0
2432, 1.76, 0.005625, 2.12, 2.169, 0.886, 91.1, 87.7, 94.8
2560, 1.83, 0.0055, 2.11, 2.152, 0.887, 91.2, 87.7, 95.0
2688, 1.79, 0.005375, 2.1, 2.195, 0.886, 91.1, 87.6, 94.8
2816, 1.79, 0.00525, 2.08, 2.146, 0.885, 91.1, 87.6, 94.8
2944, 1.8, 0.005125, 2.07, 2.142, 0.886, 91.1, 87.7, 94.8
3072, 1.83, 0.005, 2.06, 2.125, 0.888, 91.2, 87.8, 94.9
3200, 1.78, 0.004875, 2.05, 2.114, 0.887, 91.2, 87.6, 95.1
3328, 1.77, 0.00475, 2.06, 2.118, 0.887, 91.2, 87.6, 95.1
3456, 1.8, 0.004625, 2.04, 2.114, 0.887, 91.2, 87.5, 95.2
3584, 1.8, 0.0045, 2.02, 2.106, 0.887, 91.2, 87.6, 95.1
3712, 1.76, 0.004375, 2.04, 2.101, 0.887, 91.2, 87.7, 95.1
3840, 1.79, 0.00425, 2.01, 2.098, 0.887, 91.2, 87.6, 95.0
3968, 1.82, 0.004125, 2.03, 2.087, 0.888, 91.2, 87.7, 95.1
4096, 1.81, 0.004, 2.0, 2.093, 0.888, 91.3, 87.7, 95.1
4224, 1.82, 0.003875, 2.0, 2.083, 0.888, 91.3, 87.8, 95.1
4352, 1.79, 0.00375, 2.0, 2.117, 0.888, 91.2, 87.8, 95.0
4480, 1.77, 0.003625, 2.0, 2.073, 0.888, 91.2, 87.7, 95.1
4608, 1.78, 0.0035, 1.98, 2.063, 0.888, 91.3, 87.8, 95.0
4736, 1.79, 0.003375, 1.98, 2.062, 0.888, 91.2, 87.6, 95.1
4864, 1.82, 0.00325, 1.98, 2.06, 0.888, 91.3, 87.8, 95.1
4992, 1.79, 0.003125, 1.97, 2.053, 0.889, 91.3, 87.8, 95.1
5120, 1.81, 0.003, 1.95, 2.053, 0.889, 91.3, 87.9, 95.0
5248, 1.78, 0.002875, 1.96, 2.042, 0.888, 91.3, 87.8, 95.1
5376, 1.79, 0.00275, 1.96, 2.044, 0.888, 91.2, 87.7, 95.0
5504, 1.79, 0.002625, 1.94, 2.042, 0.888, 91.3, 87.8, 95.0
5632, 1.77, 0.0025, 1.93, 2.031, 0.889, 91.3, 87.8, 95.1
5760, 1.83, 0.002375, 1.94, 2.035, 0.888, 91.3, 87.8, 95.1
5888, 1.79, 0.00225, 1.93, 2.027, 0.888, 91.3, 87.8, 95.1
6016, 1.78, 0.002125, 1.94, 2.032, 0.888, 91.3, 87.8, 95.0
6144, 1.82, 0.002, 1.92, 2.029, 0.888, 91.3, 87.8, 95.0
6272, 1.8, 0.001875, 1.91, 2.018, 0.888, 91.3, 87.7, 95.1
6400, 1.77, 0.00175, 1.91, 2.013, 0.889, 91.3, 87.8, 95.2
6528, 1.81, 0.001625, 1.9, 2.013, 0.889, 91.3, 87.9, 95.1
